Approximate absolute humidity debug
temperatureCelsius: 24.210000000000036, relativeHumidity: 23.51, absoluteHumidity: 5.1760551152524785
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.53, absoluteHumidity: 5.177523227246952
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.53, absoluteHumidity: 5.177523227246952
temperatureCelsius: 24.210000000000036, relativeHumidity: 23.51, absoluteHumidity: 5.1760551152524785
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.53, absoluteHumidity: 5.177523227246952
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.53, absoluteHumidity: 5.177523227246952
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.53, absoluteHumidity: 5.177523227246952
temperatureCelsius: 24.189999999999998, relativeHumidity: 23.53, absoluteHumidity: 5.1745894964495
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.189999999999998, relativeHumidity: 23.53, absoluteHumidity: 5.1745894964495
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.55, absoluteHumidity: 5.181924011970494
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.53, absoluteHumidity: 5.177523227246952
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.55, absoluteHumidity: 5.181924011970494
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.53, absoluteHumidity: 5.177523227246952
temperatureCelsius: 24.189999999999998, relativeHumidity: 23.53, absoluteHumidity: 5.1745894964495
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.189999999999998, relativeHumidity: 23.51, absoluteHumidity: 5.170191205334796
temperatureCelsius: 24.189999999999998, relativeHumidity: 23.55, absoluteHumidity: 5.178987787564205
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.53, absoluteHumidity: 5.177523227246952
temperatureCelsius: 24.189999999999998, relativeHumidity: 23.53, absoluteHumidity: 5.1745894964495
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.51, absoluteHumidity: 5.17312244252341
temperatureCelsius: 24.200000000000045, relativeHumidity: 23.55, absoluteHumidity: 5.181924011970494
