Time(dataType: Time)	Temperature(unit: K, dataType: Double)	Humidity(unit: %rF, dataType: Double)
1352977656097	297.36	23.51
1352977657895	297.35	23.53
1352977659805	297.35	23.53
1352977661773	297.36	23.51
1352977663738	297.35	23.53
1352977665781	297.35	23.51
1352977667748	297.35	23.53
1352977669762	297.35	23.51
1352977671779	297.35	23.51
1352977673730	297.35	23.51
1352977675715	297.35	23.53
1352977677731	297.34	23.53
1352977679712	297.35	23.51
1352977681711	297.34	23.53
1352977683725	297.35	23.55
1352977685700	297.35	23.53
1352977687682	297.35	23.55
1352977689728	297.35	23.51
1352977691662	297.35	23.51
1352977693639	297.35	23.53
1352977695670	297.34	23.53
1352977697624	297.35	23.51
1352977699581	297.35	23.51
1352977701590	297.35	23.51
1352977703555	297.34	23.51
1352977705558	297.34	23.55
1352977707521	297.35	23.51
1352977709481	297.35	23.53
1352977711470	297.34	23.53
1352977713500	297.35	23.51
1352977715481	297.35	23.55
1352977717464	297.35	23.55
1352977719500	297.35	23.51
1352977721467	297.35	23.53
1352977723443	297.35	23.53
1352977725458	297.35	23.53
1352977727448	297.35	23.53
1352977729398	297.35	23.53
1352977731398	297.35	23.53
1352977733340	297.35	23.55
1352977735342	297.35	23.55
1352977737354	297.35	23.53
1352977739308	297.35	23.51
1352977741287	297.35	23.53
1352977743285	297.35	23.53
1352977745248	297.35	23.51
1352977747226	297.35	23.51
1352977749227	297.34	23.53
1352977751186	297.35	23.53
1352977753141	297.35	23.51
1352977755176	297.36	23.53
1352977757128	297.36	23.53
1352977759102	297.35	23.55
1352977761133	297.36	23.55
1352977763082	297.36	23.55
1352977765110	297.36	23.55
1352977767124	297.36	23.55
1352977769092	297.36	23.55
1352977771092	297.36	23.55
1352977773110	297.36	23.55
1352977775091	297.36	23.55
1352977777075	297.36	23.55
1352977779082	297.36	23.53
1352977781065	297.36	23.51
1352977783050	297.36	23.53
1352977785073	297.36	23.53
1352977787022	297.36	23.53
1352977789036	297.36	23.55
1352977791050	297.36	23.53
1352977793034	297.36	23.53
1352977795034	297.36	23.55
1352977797030	297.36	23.55
1352977798966	297.35	23.55
1352977800978	297.36	23.53
1352977802959	297.36	23.53
1352977804925	297.35	23.53
1352977806956	297.36	23.53
1352977808971	297.36	23.55
1352977810935	297.36	23.55
1352977812950	297.36	23.55
1352977814980	297.36	23.55
1352977816949	297.36	23.53
1352977818930	297.36	23.55
1352977820963	297.36	23.51
1352977822931	297.36	23.51
1352977824906	297.38	23.555
1352977826917	297.38	23.535
1352977828915	297.38	23.555
1352977830897	297.38	23.555
1352977832949	297.38	23.555
1352977834906	297.38	23.535
1352977836885	297.38	23.515
1352977838933	297.38	23.515
1352977840865	297.38	23.515
1352977842861	297.39	23.535
1352977844908	297.39	23.555
1352977846898	297.38	23.535
1352977848874	297.38	23.535
1352977850896	297.38	23.535
1352977852830	297.38	23.535
1352977854825	297.38	23.515
1352977856857	297.39	23.495
1352977858840	297.38	23.515
1352977860840	297.38	23.495
1352977862881	297.38	23.515
1352977864814	297.38	23.515
1352977866814	297.38	23.535
1352977868830	297.39	23.515
1352977870818	297.38	23.515
1352977872796	297.38	23.515
1352977874804	297.38	23.515
1352977876775	297.39	23.495
1352977878786	297.39	23.495
1352977880801	297.38	23.495
1352977882769	297.38	23.495
1352977884789	297.38	23.495
1352977886770	297.38	23.495
1352977888773	297.38	23.515
1352977890736	297.38	23.515
1352977892784	297.38	23.495
1352977894720	297.38	23.495
1352977896706	297.39	23.535
1352977898738	297.39	23.515
1352977900711	297.39	23.515
1352977902687	297.39	23.515
1352977904714	297.39	23.515
1352977906694	297.4	23.515
1352977908659	297.4	23.515
1352977910661	297.4	23.515
1352977912655	297.4	23.515
1352977914618	297.4	23.515
1352977916634	297.39	23.515
1352977918500	297.4	23.495
1352977920474	297.4	23.515
1352977922503	297.4	23.515
1352977924441	297.4	23.495
1352977926384	297.4	23.495
1352977928400	297.4	23.495
1352977930387	297.4	23.495
1352977932361	297.4	23.495
1352977934349	297.4	23.495
1352977936348	297.41	23.475
1352977938345	297.41	23.515
1352977940370	297.41	23.495
1352977942330	297.39	23.495
1352977944325	297.4	23.515
1352977946357	297.41	23.495
1352977948337	297.41	23.495
1352977950317	297.41	23.495
1352977952332	297.41	23.475
1352977954313	297.41	23.515
1352977956313	297.41	23.495
1352977958303	297.41	23.495
1352977960303	297.41	23.45
1352977962288	297.4	23.475
1352977964287	297.4	23.475
1352977966206	297.41	23.495
1352977968194	297.41	23.495
1352977970175	297.41	23.495
1352977972172	297.4	23.475
1352977974137	297.4	23.475
1352977976181	297.41	23.475
1352977978148	297.41	23.475
1352977980109	297.41	23.475
1352977982139	297.41	23.515
1352977984088	297.4	23.475
1352977986108	297.41	23.495
1352977988110	297.41	23.495
1352977990089	297.41	23.515
1352977992088	297.41	23.515
1352977994087	297.41	23.475
1352977996050	297.41	23.45
1352977998065	297.41	23.495
1352978000064	297.41	23.515
1352978002044	297.41	23.515
1352978004042	297.41	23.495
1352978006050	297.41	23.515
1352978008027	297.41	23.515
1352978010023	297.41	23.495
1352978012055	297.42	23.495
1352978014022	297.42	23.495
1352978016004	297.42	23.475
1352978017982	297.42	23.475
1352978019981	297.41	23.495
1352978021959	297.42	23.475
1352978024003	297.42	23.475
1352978025952	297.43	23.5
1352978027980	297.42	23.475
1352978029973	297.42	23.475
1352978031945	297.43	23.48
1352978033922	297.43	23.5
1352978035948	297.43	23.48
1352978037907	297.43	23.5
1352978039888	297.43	23.48
1352978041902	297.43	23.5
1352978043902	297.42	23.475
1352978045886	297.42	23.475
1352978047914	297.42	23.495
1352978049880	297.42	23.495
1352978051876	297.43	23.48
1352978053889	297.43	23.48
1352978055845	297.43	23.48
1352978057852	297.42	23.475
1352978059882	297.42	23.475
1352978061830	297.42	23.495
1352978063823	297.42	23.475
1352978065870	297.43	23.48
1352978067838	297.43	23.48
1352978069835	297.43	23.48
1352978071812	297.43	23.48
1352978073789	297.43	23.48
1352978075795	297.42	23.45
1352978077810	297.42	23.475
1352978079783	297.43	23.48
1352978081749	297.43	23.48
1352978083727	297.42	23.475
1352978085680	297.43	23.48
1352978087657	297.43	23.48
1352978089698	297.43	23.455
1352978091664	297.43	23.455
1352978093655	297.42	23.475
1352978095669	297.42	23.495
1352978097636	297.42	23.475
1352978099604	297.42	23.475
1352978101618	297.42	23.45
1352978103585	297.41	23.475
1352978105597	297.41	23.475
1352978107611	297.41	23.45
1352978109586	297.41	23.495
1352978111570	297.41	23.495
1352978113586	297.41	23.45
1352978115542	297.42	23.45
1352978117542	297.42	23.475
1352978119535	297.42	23.475
1352978121531	297.41	23.495
1352978123497	297.41	23.495
1352978125523	297.41	23.495
1352978127520	297.41	23.475
1352978129512	297.41	23.475
1352978131524	297.41	23.475
1352978133503	297.42	23.475
1352978135487	297.41	23.45
1352978137497	297.41	23.45
1352978139477	297.41	23.495
1352978141475	297.42	23.45
1352978143483	297.42	23.45
1352978145461	297.42	23.475
1352978147458	297.42	23.475
1352978149464	297.42	23.475
1352978151431	297.41	23.475
